official_name	occurrences	name_type	capitalized_case
Acella Antipyrine and Benzocaine Otic	1	brand	Acella Antipyrine And Benzocaine Otic
ACEPHEN	3	brand	Acephen
ACETADOTE	1	brand	Acetadote
ACETAMINOHPEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL	7	generic	Acetaminohpen, Dextromethorphan Hbr, Phenylephrine Hcl
ACETAMINOPHEN	10	brand	Acetaminophen
ACETAMINOPHEN AND CODEINE	3	brand	Acetaminophen And Codeine
ACETAMINOPHEN AND CODEINE PHOSPHATE	11	brand	Acetaminophen And Codeine Phosphate
ACETAMINOPHEN AND DIPHENHYDRAMINE CITRATE	8	generic	Acetaminophen And Diphenhydramine Citrate
ACETAMINOPHEN AND DIPHENHYDRAMINE HCL	29	generic	Acetaminophen And Diphenhydramine Hcl
ACETAMINOPHEN AND DIPHENHYDRAMINE HYDROCHLORIDE	16	generic	Acetaminophen And Diphenhydramine Hydrochloride
ACETAMINOPHEN AND PHENYLEPHRINE HCL	17	generic	Acetaminophen And Phenylephrine Hcl
ACETAMINOPHEN AND PHENYLEPHRINE HYDROCHLORIDE	16	generic	Acetaminophen And Phenylephrine Hydrochloride
Acetaminophen Extra Strength	4	brand	Acetaminophen Extra Strength
acetaminophen for children	2	brand	Acetaminophen For Children
acetaminophen pain reliever fever reducer	1	brand	Acetaminophen Pain Reliever Fever Reducer
ACETAMINOPHEN pain reliever/fever reducer	1	brand	Acetaminophen Pain Reliever/Fever Reducer
acetaminophen pm	5	brand	Acetaminophen Pm
Acetaminophen PM Extra Strength	6	brand	Acetaminophen Pm Extra Strength
ACETAMINOPHEN, ASPIRIN AND CAFFEINE	27	generic	Acetaminophen, Aspirin And Caffeine
ACETAMINOPHEN, ASPIRIN, AND CAFFEINE	8	generic	Acetaminophen, Aspirin, And Caffeine
ACETAMINOPHEN, ASPIRIN, CAFFEINE	75	generic	Acetaminophen, Aspirin, Caffeine
ACETAMINOPHEN, CAFFEINE	11	generic	Acetaminophen, Caffeine
ACETAMINOPHEN, CAFFEINE AND PYRILAMINE MALEATE	14	generic	Acetaminophen, Caffeine And Pyrilamine Maleate
ACETAMINOPHEN, CAFFEINE, PYRILAMINE MALEATE	5	generic	Acetaminophen, Caffeine, Pyrilamine Maleate
ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, AND PHENYLEPHRINE HYDROCHLORIDE	7	generic	Acetaminophen, Chlorpheniramine Maleate, And Phenylephrine Hydrochloride
ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL	24	generic	Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hbr, Phenylephrine Hcl
ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE	4	generic	Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hydrobromide
ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE	25	generic	Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride
ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HCL	25	generic	Acetaminophen, Chlorpheniramine Maleate, Phenylephrine Hcl
ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HYDROCHLORIDE	4	generic	Acetaminophen, Chlorpheniramine Maleate, Phenylephrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HBR	13	generic	Acetaminophen, Dextromethorphan Hbr
ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE	125	generic	Acetaminophen, Dextromethorphan Hbr, Doxylamine Succinate
ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL	17	generic	Acetaminophen, Dextromethorphan Hbr, Doxylamine Succinate, Phenylephrine Hcl
ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PSEUDOEPHEDRINE HCL	4	generic	Acetaminophen, Dextromethorphan Hbr, Doxylamine Succinate, Pseudoephedrine Hcl
ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL	98	generic	Acetaminophen, Dextromethorphan Hbr, Guaifenesin, Phenylephrine Hcl
ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL	66	generic	Acetaminophen, Dextromethorphan Hbr, Phenylephrine Hcl
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE AND DOXYLAMINE SUCCINATE	22	generic	Acetaminophen, Dextromethorphan Hydrobromide And Doxylamine Succinate
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, AND DOXYLAMINE SUCCINATE	9	generic	Acetaminophen, Dextromethorphan Hydrobromide, And Doxylamine Succinate
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, AND PHENYLEPHRINE HYDROCHLORIDE	20	generic	Acetaminophen, Dextromethorphan Hydrobromide, And Phenylephrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE	85	generic	Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, AND PHENYLEPHRINE HYDROCHLORIDE	6	generic	Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate, And Phenylephrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HYDROCHLORIDE	6	generic	Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate, Phenylephrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, PSEUDOEPHEDRINE HYDROCHLORIDE	4	generic	Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate, Pseudoephedrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE	27	generic	Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, And Phenylephrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE	13	generic	Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE	94	generic	Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride
ACETAMINOPHEN, DIPHENHYDRAMINE HCL	114	generic	Acetaminophen, Diphenhydramine Hcl
ACETAMINOPHEN, DIPHENHYDRAMINE HCL AND PHENYLEPHRINE HCL	11	generic	Acetaminophen, Diphenhydramine Hcl And Phenylephrine Hcl
ACETAMINOPHEN, DIPHENHYDRAMINE HCL, AND PHENYLEPHRINE HCL.	8	generic	Acetaminophen, Diphenhydramine Hcl, And Phenylephrine Hcl.
ACETAMINOPHEN, DIPHENHYDRAMINE HCL, PHENYLEPHRINE HCL	6	generic	Acetaminophen, Diphenhydramine Hcl, Phenylephrine Hcl
ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE, AND PHENYLEPHRINE HYDROCHLORIDE	17	generic	Acetaminophen, Diphenhydramine Hydrochloride, And Phenylephrine Hydrochloride
ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE, PHENYLEPHRINE HYDROCHLORIDE	39	generic	Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride
ACETAMINOPHEN, GUAIFENESIN AND PHENYLEPHRINE HCL	5	generic	Acetaminophen, Guaifenesin And Phenylephrine Hcl
ACETAMINOPHEN, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE	10	generic	Acetaminophen, Guaifenesin, And Phenylephrine Hydrochloride
ACETAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HCL	22	generic	Acetaminophen, Guaifenesin, Phenylephrine Hcl
ACETAMINOPHEN, PAMABROM, PYRILAMINE MALEATE	5	generic	Acetaminophen, Pamabrom, Pyrilamine Maleate
ACETAMINOPHEN, PHENIRAMINE MALEATE, PHENYLEPHRINE HCL	7	generic	Acetaminophen, Pheniramine Maleate, Phenylephrine Hcl
ACETAMINOPHEN, PHENYLEPHRINE HCL	29	generic	Acetaminophen, Phenylephrine Hcl
ACETAMINOPHEN, PHENYLEPHRINE HCL AND DEXTROMETHORPHAN HBR	4	generic	Acetaminophen, Phenylephrine Hcl And Dextromethorphan Hbr
ACETAMINOPHEN, PHENYLEPHRINE HCL, CHLORPHENIRAMINE MALEATE	4	generic	Acetaminophen, Phenylephrine Hcl, Chlorpheniramine Maleate
ACETAMINOPHEN, PHENYLEPHRINE HCL, DEXTROMETHORPHAN HBR AND GUIAFENESIN	8	generic	Acetaminophen, Phenylephrine Hcl, Dextromethorphan Hbr And Guiafenesin
ACETAMINOPHEN, PHENYLEPHRINE HYDROCHLORIDE	11	generic	Acetaminophen, Phenylephrine Hydrochloride
ACETAMINOPHEN,DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE	14	generic	Acetaminophen,Dextromethorphan Hbr, Doxylamine Succinate
ACETAMINOPHEN,PHENIRAMINE MALEATE, PHENYLEPHRINE HYDROCHLORIDE	5	generic	Acetaminophen,Pheniramine Maleate, Phenylephrine Hydrochloride
Acetasol HC	1	brand	Acetasol Hc
ACETAZOLAMIDE	2	generic	Acetazolamide
ACETAZOLAMIDE SODIUM	1	generic	Acetazolamide Sodium
ACETIC ACID	3	generic	Acetic Acid
ACETIC ACID AND OXYQUINOLINE SULFATE	1	generic	Acetic Acid And Oxyquinoline Sulfate
ACETIC ACID IN AQUEOUS ALUMINUM ACETATE	1	generic	Acetic Acid In Aqueous Aluminum Acetate
ACETYLCYSTEINE	4	generic	Acetylcysteine
ACHILLEA MILLEFOLIUM, MARRUBIUM VULGARE, STACHYS BETONICA, URTICA DIOICA	1	generic	Achillea Millefolium, Marrubium Vulgare, Stachys Betonica, Urtica Dioica
Acid Reducer	25	brand	Acid Reducer
acid reducer original strength	4	brand	Acid Reducer Original Strength
acid reducer plus antacid	3	brand	Acid Reducer Plus Antacid
ACIDULATED PHOSPHATE FLUORIDE	7	generic	Acidulated Phosphate Fluoride
ACLIDINIUM BROMIDE	1	generic	Aclidinium Bromide
Acne	4	brand	Acne
ACONITUM NAP, CALC CARB, NAT CARB	1	generic	Aconitum Nap, Calc Carb, Nat Carb
ACONITUM NAPELLUS	1	brand	Aconitum Napellus
ACONITUM NAPELLUS - APIS MELLIFERA - SILVER NITRATE - EUPHRASIA STRICTA - SODIUM ARSENATE, DIBASIC, HEPTAHYDRATE -	1	generic	Aconitum Napellus - Apis Mellifera - Silver Nitrate - Euphrasia Stricta - Sodium Arsenate, Dibasic, Heptahydrate -
ACONITUM NAPELLUS AND AMMONIUM BROMIDE AND CITRULLUS COLOCYNTHIS FRUIT PULP AND ATROPINE SULFATE AND GELSEMIUM SEMPERVIRENS ROOT AND MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE AND VERATRUM ALBUM ROOT AND	1	generic	Aconitum Napellus And Ammonium Bromide And Citrullus Colocynthis Fruit Pulp And Atropine Sulfate And Gelsemium Sempervirens Root And Magnesium Phosphate, Dibasic Trihydrate And Veratrum Album Root And
ACONITUM NAPELLUS, BRYONIA ALBA ROOT, EUCALYPTUS GLOBULUS LEAF, EUPATORIUM PERFOLIATUM FLOWERING TOP, GELSEMIUM SEMPERVIRENS ROOT,IPECAC	1	generic	Aconitum Napellus, Bryonia Alba Root, Eucalyptus Globulus Leaf, Eupatorium Perfoliatum Flowering Top, Gelsemium Sempervirens Root,Ipecac
ACONITUM NAPELLUS, BRYONIA ALBA ROOT, EUCALYPTUS GLOBULUS LEAF, EUPATORIUM PERFOLIATUM FLOWERING TOP, GELSEMIUM SEMPERVIRENS ROOT,IPECAC , PHOSPHORUS	1	generic	Aconitum Napellus, Bryonia Alba Root, Eucalyptus Globulus Leaf, Eupatorium Perfoliatum Flowering Top, Gelsemium Sempervirens Root,Ipecac , Phosphorus
ACONITUM NAPELLUS, BRYONIA ALBA ROOT, EUPATORIUM PERFOLIATUM FLOWERING TOP, GELSEMIUM SEMPERVIRENS ROOT, IPECAC, PHOSPHORUSEUCALYPTUS GLOBULUS LEAF	1	generic	Aconitum Napellus, Bryonia Alba Root, Eupatorium Perfoliatum Flowering Top, Gelsemium Sempervirens Root, Ipecac, Phosphoruseucalyptus Globulus Leaf
ACONITUM NAPELLUS, BRYONIA ALBA ROOT, EUPATORIUM PERFOLIATUM FLOWERING TOP, GELSEMIUM SEMPERVIRENS ROOT,IPECAC, PHOSPHORUS	1	generic	Aconitum Napellus, Bryonia Alba Root, Eupatorium Perfoliatum Flowering Top, Gelsemium Sempervirens Root,Ipecac, Phosphorus
ACONITUM NAPELLUS, BRYONIA ALBA, HYPERICUM PERFORATUM	4	generic	Aconitum Napellus, Bryonia Alba, Hypericum Perforatum
ACONITUM NAPELLUS, CALCIUM SULFIDE, SPONGIA OFFICINALIS SKELETON, ROASTED, TIN	1	generic	Aconitum Napellus, Calcium Sulfide, Spongia Officinalis Skeleton, Roasted, Tin
ACONITUM NAPELLUS, HYPERICUM PERFORATUM, LYCOPODIUM CLAVATUM, PHOSPHORUS, RHUS TOXICODENDRON, SECALE CORNUTUM	3	generic	Aconitum Napellus, Hypericum Perforatum, Lycopodium Clavatum, Phosphorus, Rhus Toxicodendron, Secale Cornutum
ACONITUM NAPELLUS,APIS MELLIFERA,ATROPA BELLADONNA,SOLANUM DULCAMARA TOP,MERCURIUS SOLUBILIS,PHYTOLACCA AMERICANA ROOT.	1	generic	Aconitum Napellus,Apis Mellifera,Atropa Belladonna,Solanum Dulcamara Top,Mercurius Solubilis,Phytolacca Americana Root.
ACONITUM NAPELLUS,ARSENIC TRIOXIDE,BLATTA ORIENTALIS,SOLANUM DULCAMARA TOP,IPECAC,NAPHTHALENE,QUEBRACHO BARK, PHOSPHORUS,HISTAMINE DIHYDROCHLORIDE	1	generic	Aconitum Napellus,Arsenic Trioxide,Blatta Orientalis,Solanum Dulcamara Top,Ipecac,Naphthalene,Quebracho Bark, Phosphorus,Histamine Dihydrochloride
ACONITUM NAPELLUS,ONION,ARNICA MONTANA,ATROPA BELLADONNA,SOLANUM DULCAMARA TOP,EUPATORIUM CANNABINUM,GELSEMIUM SEMPERVIRENS ROOT.	1	generic	Aconitum Napellus,Onion,Arnica Montana,Atropa Belladonna,Solanum Dulcamara Top,Eupatorium Cannabinum,Gelsemium Sempervirens Root.
ACPURIS INTENSIVE SPOT TREATMENT	1	brand	Acpuris Intensive Spot Treatment
ACTEMRA	1	brand	Actemra
Acthrel	1	brand	Acthrel
ACTIFIRM RECOVERY EMULSION GOWOONSESANG EXPERT	1	brand	Actifirm Recovery Emulsion Gowoonsesang Expert
ACTIFIRM RECOVERY EYE GOWOONSESANG EXPERT	1	brand	Actifirm Recovery Eye Gowoonsesang Expert
ACTIFIRM RECOVERY GOWOONSESANG EXPERT	1	brand	Actifirm Recovery Gowoonsesang Expert
ACTIFIRM RECOVERY SERUM GOWOONSESANG EXPERT	1	brand	Actifirm Recovery Serum Gowoonsesang Expert
ACTIFIRM RECOVERY TONER GOWOONSESANG EXPERT	1	brand	Actifirm Recovery Toner Gowoonsesang Expert
ACTIMMUNE	2	brand	Actimmune
ACTIQ	1	brand	Actiq
ACTIVATED CHARCOAL	4	generic	Activated Charcoal
Actos	1	brand	Actos
ACULAR	2	brand	Acular
ACULAR LS	1	brand	Acular Ls
Acute Asthma Relief	1	brand	Acute Asthma Relief
ACUVAIL	1	brand	Acuvail
ACYCLOVIR	1	generic	Acyclovir
ACYCLOVIR SODIUM	6	generic	Acyclovir Sodium
Adagen	1	brand	Adagen
ADAPALENE	17	generic	Adapalene
ADAPALENE AND BENZOYL PEROXIDE	2	generic	Adapalene And Benzoyl Peroxide
Adasuve	1	brand	Adasuve
Addamel N	1	brand	Addamel N
Adderall	1	brand	Adderall
Adenocard	2	brand	Adenocard
Adenoscan	4	brand	Adenoscan
ADENOSINE	29	generic	Adenosine
ADENOSINE 0.04%	7	generic	Adenosine 0.04%
ADENOSINE GLYCERIN	2	generic	Adenosine Glycerin
ADO-TRASTUZUMAB EMTANSINE	1	generic	Ado-Trastuzumab Emtansine
Adrenaclick	1	brand	Adrenaclick
Adrenalin	1	brand	Adrenalin
AdreView	1	brand	Adreview
ADRUCIL	2	brand	Adrucil
Adult Glycerin Laxative	3	brand	Adult Glycerin Laxative
Adult Infuvite Multiple Vitamins for Infusion	1	brand	Adult Infuvite Multiple Vitamins For Infusion
Adult Infuvite Multiple Vitamins for Infusion Pharmacy Bulk	1	brand	Adult Infuvite Multiple Vitamins For Infusion Pharmacy Bulk
Adult Low Strength Aspirin	4	brand	Adult Low Strength Aspirin
ADVAIR DISKUS	7	brand	Advair Diskus
ADVAIR HFA	1	brand	Advair Hfa
ADVAIRDISKUS DISKUS	3	brand	Advairdiskus Diskus
Advance Relief Eye Drops	1	brand	Advance Relief Eye Drops
Advance White Breath Freshening Tartar Control	1	brand	Advance White Breath Freshening Tartar Control
Advance White Extreme Whitening Tartar Control	1	brand	Advance White Extreme Whitening Tartar Control
Advance White Tartar Control Breath Freshening	1	brand	Advance White Tartar Control Breath Freshening
Advanced Eye Relief Dry Eye Rejuvenation	1	brand	Advanced Eye Relief Dry Eye Rejuvenation
Advanced Eye Relief/ Dry Eye/ Rejuvenation Lubricant	1	brand	Advanced Eye Relief/ Dry Eye/ Rejuvenation Lubricant
Advanced Eye Relief/ Redness Instant Relief	1	brand	Advanced Eye Relief/ Redness Instant Relief
Advanced Eye Relief/ Redness Maximum Relief	1	brand	Advanced Eye Relief/ Redness Maximum Relief
ADVANCED FLUORIDE ANTICAVITY	1	brand	Advanced Fluoride Anticavity
Advanced Hand Sanitizer	7	brand	Advanced Hand Sanitizer
ADVANCED HAND SANITIZING GEL	2	generic	Advanced Hand Sanitizing Gel
ADVANCED HAND SANITIZING SPRAY	2	generic	Advanced Hand Sanitizing Spray
Advanced relief	3	brand	Advanced Relief
Advanced Whitening Anticavity Fluoride	1	brand	Advanced Whitening Anticavity Fluoride
ADVIL	1	brand	Advil
Advil Allergy and Congestion Relief	1	brand	Advil Allergy And Congestion Relief
ADVIL ALLERGY SINUS	1	brand	Advil Allergy Sinus
ADVIL COLD AND SINUS	2	brand	Advil Cold And Sinus
Advil Congestion Relief	1	brand	Advil Congestion Relief
Advil Liquigels	1	brand	Advil Liquigels
ADVIL MIGRAINE	1	brand	Advil Migraine
ADVIL PM	2	brand	Advil Pm
AER Pre-moistened Witch Hazel Pad	1	brand	Aer Pre-Moistened Witch Hazel Pad
Aerospan	1	brand	Aerospan
AESCULUS HIPPOCASTANUM, ARNICA MONTANA, BELLIS PERENNIS, BRYONIA, CALCAREA CARBONICA, CALCAREA FLUORICA, CIMICIFUGA RACEMOSA, COBALTUM METALLICUM, GNAPHALIUM POLYCEPHALUM, HYPERICUM PERFORATUM, KALI CARBONICUM, KALI PHOSPHORICUM, MAGNESIA PHOSPHORICA, OXALICUM ACIDUM, PHOSPHORUS, RHUS TOXICODENDRON, RUTA GRAVEOLENS, ZINCUM METALLICUM	2	generic	Aesculus Hippocastanum, Arnica Montana, Bellis Perennis, Bryonia, Calcarea Carbonica, Calcarea Fluorica, Cimicifuga Racemosa, Cobaltum Metallicum, Gnaphalium Polycephalum, Hypericum Perforatum, Kali Carbonicum, Kali Phosphoricum, Magnesia Phosphorica, Oxalicum Acidum, Phosphorus, Rhus Toxicodendron, Ruta Graveolens, Zincum Metallicum
AESCULUS HIPPOCASTANUM, COLLINSONIA CANADENSIS	2	generic	Aesculus Hippocastanum, Collinsonia Canadensis
AFLIBERCEPT	1	generic	Aflibercept
Afrezza	2	brand	Afrezza
Afrin No Drip Extra Moisturizing	1	brand	Afrin No Drip Extra Moisturizing
Afrin No Drip Original Pump Mist	1	brand	Afrin No Drip Original Pump Mist
Afrin No Drip Severe Congestion	1	brand	Afrin No Drip Severe Congestion
Afrin No Drip Sinus Pump Mist	1	brand	Afrin No Drip Sinus Pump Mist
Afrin Original	1	brand	Afrin Original
Afrin Original Pump Mist	1	brand	Afrin Original Pump Mist
Afrin Severe Congestion	1	brand	Afrin Severe Congestion
Afrin Sinus	1	brand	Afrin Sinus
AGALSIDASE BETA	1	generic	Agalsidase Beta
AGAVE CACTUS HYDRATING	1	brand	Agave Cactus Hydrating
AGAVE CACTUS LIGHT	1	brand	Agave Cactus Light
AGAVE CACTUS SERUM	1	brand	Agave Cactus Serum
age renewal firming and hydrating moisturizer	2	brand	Age Renewal Firming And Hydrating Moisturizer
AGGRASTAT	1	brand	Aggrastat
Aggrenox	4	brand	Aggrenox
Aging Eye Relief	1	brand	Aging Eye Relief
AgingEye Relief	1	brand	Agingeye Relief
AgoraFear Relief	1	brand	Agorafear Relief
AGROSTIS ALBA	1	generic	Agrostis Alba
AIM Bubble Berry	1	brand	Aim Bubble Berry
AIM CAVITY PROTECTION Multi Benefit	1	brand	Aim Cavity Protection Multi Benefit
AIM Cavity Protection with Whitening	1	brand	Aim Cavity Protection With Whitening
AIM TARTAR CONTROL Plus Mouthwash and Whitening	1	brand	Aim Tartar Control Plus Mouthwash And Whitening
AIM Whitening with Baking Soda	1	brand	Aim Whitening With Baking Soda
AIR	1	brand	Air
AIR COMPRESSED	4	generic	Air Compressed
AIR COMPRESSED (MEDICAL AIR USP)	1	generic	Air Compressed (Medical Air Usp)
AIR COMPRESSED MEDICAL AIR	1	brand	Air Compressed Medical Air
Air Sinsin Pas	1	brand	Air Sinsin Pas
AIR, COMPRESSED	1	brand	Air, Compressed
AK-Con	2	brand	Ak-Con
AK-FLUOR	1	brand	Ak-Fluor
AK-PENTOLATE	1	brand	Ak-Pentolate
AK-POLY-BAC	1	generic	Ak-Poly-Bac
Akten	1	brand	Akten
ALAMAST	1	brand	Alamast
Alaway	1	brand	Alaway
Albumin (Human)	3	brand	Albumin (Human)
ALBUMIN HUMAN	3	generic	Albumin Human
ALBUTEROL SULFATE	1	generic	Albuterol Sulfate
ALCAFTADINE	3	generic	Alcaftadine
Alcaine	1	brand	Alcaine
ALCLOMETASONE DIPROPIONATE	7	generic	Alclometasone Dipropionate
ALCOHOL	2	generic	Alcohol
ALCOHOL AND BENZOCAINE	2	generic	Alcohol And Benzocaine
ALCOHOL FREE HAND SANITIZER	5	brand	Alcohol Free Hand Sanitizer
Alcohol Prep	7	brand	Alcohol Prep
Alcohol Prep Pad	31	brand	Alcohol Prep Pad
ALCOHOL SWABSTICK	2	generic	Alcohol Swabstick
ALCOHOL, BENZOCAINE	2	generic	Alcohol, Benzocaine
ALCOHOL, DENATURED	2	generic	Alcohol, Denatured
ALCOHOL, LIDOCAINE HYDROCHLORIDE	3	generic	Alcohol, Lidocaine Hydrochloride
ALDESLEUKIN	2	generic	Aldesleukin
ALDURAZYME	1	brand	Aldurazyme
ALEMTUZUMAB	1	generic	Alemtuzumab
ALENDRONATE SODIUM	29	generic	Alendronate Sodium
Alfenta	1	brand	Alfenta
Alfentanil	1	brand	Alfentanil
ALFENTANIL HYDROCHLORIDE	1	brand	Alfentanil Hydrochloride
ALFUZOSIN HYDROCHLORIDE	8	generic	Alfuzosin Hydrochloride
ALGLUCOSIDASE ALFA	2	generic	Alglucosidase Alfa
Alimta	1	brand	Alimta
ALKYL (68% C12, 32% C14) DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE AND ALKYL DIMETHYL BENZYL AMMONIUM CHLORIDE	4	generic	Alkyl (68% C12, 32% C14) Dimethyl Ethylbenzyl Ammonium Chloride And Alkyl Dimethyl Benzyl Ammonium Chloride
All Day Allergy	14	brand	All Day Allergy
All Day Pain Relief	18	brand	All Day Pain Relief
all day relief	18	brand	All Day Relief
ALLANTOIN	1	generic	Allantoin
ALLANTOIN AND DIMETHICONE	3	generic	Allantoin And Dimethicone
ALLANTOIN GLYCERIN	3	generic	Allantoin Glycerin
ALLANTOIN, BENZALKONIUM CHLORIDE	2	generic	Allantoin, Benzalkonium Chloride
ALLANTOIN, BENZETHONIUM CHLORIDE	7	generic	Allantoin, Benzethonium Chloride
ALLANTOIN, LIDOCAINE	2	generic	Allantoin, Lidocaine
ALLERGENIC EXTRACTS ALUM PRECIPITATED	1	generic	Allergenic Extracts Alum Precipitated
Allergenic Extracts Standardized Mite	1	brand	Allergenic Extracts Standardized Mite
Allergiemittel	1	brand	Allergiemittel
Allergy	23	brand	Allergy
allergy and congestion relief	4	brand	Allergy And Congestion Relief
Allergy Buster	1	brand	Allergy Buster
Allergy Desensitization	1	brand	Allergy Desensitization
allergy eye	2	brand	Allergy Eye
ALLERGY EYE DROPS	1	brand	Allergy Eye Drops
allergy eye original prescription strength	1	brand	Allergy Eye Original Prescription Strength
Allergy Eye Relief	3	brand	Allergy Eye Relief
Allergy Multi-Symptom	5	brand	Allergy Multi-Symptom
Allergy Relief	1	brand	Allergy Relief
Allergy Relief Antihistamine	7	brand	Allergy Relief Antihistamine
Allergy Relief D	4	brand	Allergy Relief D
allergy relief eye	1	brand	Allergy Relief Eye
